tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
34027044900,"Dover, NJ",0.2697,0,0.1908,0.0782
34031181000,"Paterson, NJ",0.2692,0,0.2445,0.1233
34017004000,"West Side, Jersey City, NJ",0.2686,0.0497,0.2501,0.0781
34039032300,"Hillside, NJ",0.268,0,0.1169,0.1453
34031180100,"Paterson, NJ",0.2677,0,0.2987,0.0832
36085023900,"Richmond County, NY",0.2676,#N/A,#N/A,#N/A
34013015700,"Bloomfield, NJ",0.2649,0,0.142,0.244
34031175701,"Passaic, NJ",0.2647,0.0139,0.2438,0.0455
34013010200,"East Orange, NJ",0.2645,0,0.1617,0
34013009100,"Seventh Avenue, Newark, NJ",0.2633,0,0.3338,0
34039032400,"Hillside, NJ",0.2627,0.0025,0.1441,0.0655
34027044501,"Dover, NJ",0.2626,0.0008,0,0.0381
34039034100,"Roselle, NJ",0.2625,0,0.1122,0.0576
34013012700,"Irvington, NJ",0.2624,0,0.2269,0
34013012300,"Irvington, NJ",0.2612,0,0.421,0.1566
34013017100,"Montclair, NJ",0.2609,0,0,0
34039037602,"Springfield Township, NJ",0.2606,0,0,0.0112
34013018300,"City of Orange, NJ",0.2599,0,0.397,0
34039039100,"Plainfield, NJ",0.2594,#N/A,#N/A,#N/A
34031182600,"Paterson, NJ",0.2587,0,0.2752,0
34039034300,"Roselle, NJ",0.2585,0,0.2375,0.0733
34039030600,"Elizabeth, NJ",0.2566,0,0.2249,0.1096
34017002000,"Journal Square, Jersey City, NJ",0.2561,0,0.2185,0.0847
34027043600,"Morristown, NJ",0.2558,0,0.1483,0.0252
34013011800,"East Orange, NJ",0.2549,0,0,0
36085021300,"Richmond County, NY",0.254,#N/A,#N/A,#N/A
34013012400,"Irvington, NJ",0.254,0,0.3489,0
34031175602,"Passaic, NJ",0.2526,0.0901,0.2741,0.0877
34013012200,"Irvington, NJ",0.2458,0,0.2062,0.0321
34039033200,"Union, NJ",0.2445,0.0091,0.1604,0.0143
34013019200,"South Orange, NJ",0.2428,0,0,0.0461
34027046105,"Budd Lake, Mount Olive Township, NJ",0.2426,0,0.1341,0.0597
34013009400,"Forest Hill, Newark, NJ",0.2391,0,0.2882,0.0264
34013017700,"West Orange, NJ",0.2362,0,0.1116,0.0658
34027043301,"Morristown, NJ",0.2359,0,0,0.0141
34013009300,"North Broadway, Newark, NJ",0.2354,0,0.3611,0
34017002800,"McGinley Square, Jersey City, NJ",0.2353,0.0835,0.201,0.0786
34031183102,"Paterson, NJ",0.2348,0,0.1913,0.1075
34003023401,"Hackensack, NJ",0.2325,0.0005,0.1027,0.0262
34013015800,"Bloomfield, NJ",0.2324,0.0402,0.082,0.0071
34039032700,"Union, NJ",0.2292,0.0278,0.126,0.0259
34039038601,"Scotch Plains, NJ",0.2288,#N/A,#N/A,#N/A
34027044800,"Dover, NJ",0.2252,0,0.2169,0.0536
34013019700,"Maplewood, NJ",0.225,0,0.2287,0.0493
34013017500,"West Orange, NJ",0.2163,0.0279,0,0.0083
34039038400,"Scotch Plains, NJ",0.2145,0.0049,0.0416,0.0278
34027043500,"Morristown, NJ",0.2113,0,0.3917,0.1466
34013016800,"Montclair, NJ",0.2084,0,0,0.0376
34035052001,"North Plainfield, NJ",0.2075,#N/A,#N/A,#N/A
34039032500,"Hillside, NJ",0.2042,0,0.1231,0.0664
34003023502,"Hackensack, NJ",0.2026,0,0.3304,0.0397
34039034200,"Roselle, NJ",0.2004,0,0.0923,0.0422
34003030400,"Lodi, NJ",0.1973,0.0066,0.0991,0.0563
34003023302,"Hackensack, NJ",0.1972,0,0.0229,0.016
34013016700,"Montclair, NJ",0.1905,0,0,0
34013018000,"West Orange, NJ",0.1893,0,0,0.0353
34031124500,"Clifton, NJ",0.1866,0,0.2305,0.0299
34017007100,"Journal Square, Jersey City, NJ",0.1848,0.0499,0.3282,0.0169
34013019500,"Maplewood, NJ",0.1845,0,0,0.0005
34013015900,"Bloomfield, NJ",0.1827,0.0075,0.1453,0.0813
34039033100,"Union, NJ",0.1785,0.0823,0.1361,0.0091
34039031801,"Elizabeth, NJ",0.1779,0,0.1835,0.0607
34003023402,"Hackensack, NJ",0.1778,0.0453,0.1276,0.039
34039034700,"Linden, NJ",0.1756,#N/A,#N/A,#N/A
34039032600,"Union, NJ",0.1752,0.0228,0.1737,0.0359
34013016600,"Montclair, NJ",0.175,0,0,0.0957
36087012401,"Monsey, NY",0.1689,#N/A,#N/A,#N/A
34013016000,"Glen Ridge, NJ",0.1678,0,0.0434,0.0181
34013019100,"South Orange, NJ",0.1646,0,0,0.0359
34013019000,"South Orange, NJ",0.1639,0,0,0.0024
34013017600,"West Orange, NJ",0.1626,0,0.1597,0.0948
34017002900,"McGinley Square, Jersey City, NJ",0.1591,0.0403,0.2459,0.0496
36087012106,"Spring Valley, NY",0.1571,#N/A,#N/A,#N/A
34031181900,"Paterson, NJ",0.1558,0,0.298,0.0764
34035052002,"North Plainfield, NJ",0.1545,#N/A,#N/A,#N/A
34013015100,"Bloomfield, NJ",0.1543,0.0034,0.0933,0.0285
34017001400,"The Heights, Jersey City, NJ",0.1491,0.0556,0.2053,0.2267
34039036600,"Westfield, NJ",0.1489,0,0,0.0223
34041031500,"Hackettstown, NJ",0.1486,0,0.0723,0.041
34013016500,"Montclair, NJ",0.1483,0,0,0.0012
34013017302,"West Orange, NJ",0.1441,0.021,0.0262,0.0093
34013019800,"Maplewood, NJ",0.1439,0,0,0
34013019300,"South Orange, NJ",0.1435,0,0,0.0097
34013019600,"Maplewood, NJ",0.1383,0,0.178,0.0144
34039038500,"Scotch Plains, NJ",0.1366,0,0,0.0059
36085000900,"Richmond County, NY",0.1361,#N/A,#N/A,#N/A
34013017200,"Montclair, NJ",0.1337,0,0,0
34003023301,"Hackensack, NJ",0.1336,0,0.2551,0.0397
42103950802,"Pike County, PA",0.1327,0,0.186,0.0958
34013017900,"West Orange, NJ",0.1238,0,0,0.0224
34039032901,"Union, NJ",0.1223,0.0393,0,0.0331
34027046103,"Flanders, Mount Olive Township, NJ",0.121,0,0.1986,0.0061
34003047400,"Ridgewood, NJ",0.1195,0.0019,0.0227,0.0193
34013017000,"Montclair, NJ",0.1164,0,0,0.0141
34013015500,"Bloomfield, NJ",0.1117,0,0.1617,0.0087
34013016400,"Montclair, NJ",0.1094,0,0,0.0127
34031264102,"Woodland Park, NJ",0.1076,0.01,0.2738,0.0259
34039038000,"Summit, NJ",0.1033,0,0.0825,0.0188
34013016900,"Montclair, NJ",0.0998,0,0,0.0179
34039034900,"Linden, NJ",0.0905,#N/A,#N/A,#N/A
34039038700,"Fanwood, NJ",0.079,0,0.0182,0.0118
34013015300,"Bloomfield, NJ",0.0752,0,0.1907,0.022
36087012502,"Chestnut Ridge, NY",0.0645,0.0069,0.1761,0.0287
34039033000,"Union, NJ",0.0632,0,0.1793,0.0347
34013017400,"West Orange, NJ",0.0159,0.0235,0.0671,0.011
34031143200,"Hawthorne, NJ",,,0,0.0089
34017013300,"Kearny, NJ",,,0.1955,0.1004
34019010702,"Pittstown, Franklin, NJ",,,#N/A,#N/A
34003057102,"Wallington, NJ",,,0,0.0129
34003001000,"Allendale, NJ",,,0,0.0103
34013020600,"Livingston, NJ",,,0,0.0063
34027041705,"Parsippany, Parsippany-Troy Hills, NJ",,,0,0.0222
34027040300,"Pompton Plains, Pequannock Township, NJ",,,0,0.0128
34027043700,"Morristown, NJ",,,0,0.0234
34003042100,"Paramus, NJ",,,0.0034,0.022
34027043900,"Chatham Township, NJ",,,0,0.0032
34035051700,"North Plainfield, NJ",,,#N/A,#N/A
34037372000,"Newton, NJ",,,0,0.0382
34027042500,"Florham Park, NJ",,,0,0.0169
34035052204,"Warren, NJ",,,0,0.0106
34013021702,"Caldwell, NJ",,,0,0.0296
34013007400,"Newark, NJ",,,0,0.1202
34003051400,"Rutherford, NJ",,,0.0238,0.0145
34003057200,"Wallington, NJ",,,0,0.07
34013021400,"Cedar Grove, NJ",,,0.0492,0.0099
34039038201,"Berkeley Heights, NJ",,,0,0.0046
34003020200,"Franklin Lakes, NJ",,,0,0.0026
34031236601,"Haskell, Wanaque, NJ",,,0,0.0388
34037374900,"Hopatcong, NJ",,,0.0629,0.0823
42095018300,"Bangor, PA",,,0,0.111
34027046298,"Long Valley, Washington Township, NJ",,,0,0.0195
34017001202,"Journal Square, Jersey City, NJ",,,0.2309,0
34027040900,"Boonton, NJ",,,0,0.0141
34003061300,"Wyckoff, NJ",,,0,0.0047
34035052601,"Far Hills, NJ",,,0,0.0157
34039036400,"Westfield, NJ",,,0,0.0046
34019010200,"Glen Gardner, NJ",,,0,0.0441
34017011200,"Constable Hook, Bayonne, NJ",,,0.2358,0.0435
34003035200,"Woodcliff Lake, NJ",,,0,0.0003
34027042301,"Morris Plains, NJ",,,0,0.007
34003042301,"Paramus, NJ",,,0,0.0409
34003053200,"Upper Saddle River, NJ",,,0.0101,0.0131
34019010900,"High Bridge, NJ",,,0,0.0578
34039034800,"Linden, NJ",,,0.1404,0.0516
34027045300,"Kenvil, Roxbury Township, NJ",,,0.1839,0.029
34041031700,"Belvidere, NJ",,,0,0.0638
34003012002,"East Rutherford, NJ",,,0,0.0166
34017012400,"Kearny, NJ",,,0.124,0.025
34031182000,"Paterson, NJ",,,0.4426,0
34027042200,"Cedar Knolls, Hanover, NJ",,,0,0.0019
34037373300,"Sparta Township, NJ",,,0,0.0307
34003051300,"Rutherford, NJ",,,0.1689,0.0023
34017000400,"The Heights, Jersey City, NJ",,,0.3158,0.098
34013013900,"Nutley, NJ",,,0.1068,0.0483
34027040805,"Towaco, Montville, NJ",,,0,0.0297
34027044300,"Rockaway, NJ",,,0.1452,0.0213
34031154002,"Little Falls, NJ",,,0.0823,0.0399
34039031904,"Elizabeth, NJ",,,0.286,0
34003005000,"Carlstadt, NJ",,,0.1039,0.0389
34017980100,"Ellis Island, Jersey City, NJ",,,0,0
34027041000,"Boonton, NJ",,,0,0.0441
34037373800,"Newton, NJ",,,0,0.0867
34017010900,"Constable Hook, Bayonne, NJ",,,0.2289,0.062
34037374800,"Stanhope, NJ",,,0.0734,0.0847
34017001100,"The Heights, Jersey City, NJ",,,0.3255,0.1397
34003042500,"Paramus, NJ",,,0,0.0273
34019010802,"Lebanon, NJ",,,0,0.0582
34027044602,"Oak Ridge, Jefferson, NJ",,,0,0.028
34031246002,"Wayne, NJ",,,0,0.0132
34019010100,"Lebanon, NJ",,,0,0.0166
34037372900,"Franklin, NJ",,,#N/A,#N/A
34039036700,"Westfield, NJ",,,#N/A,#N/A
34003033200,"Maywood, NJ",,,0,0.0249
34003031100,"Lyndhurst, NJ",,,0.0043,0.0294
34017013600,"Harrison, NJ",,,0.2176,0.0815
34039035000,"Linden, NJ",,,#N/A,#N/A
34003030300,"Lodi, NJ",,,0.1693,0.0515
34027040702,"Butler, NJ",,,0,0.0059
34003014000,"Emerson, NJ",,,0,0.0055
34031236602,"Wanaque, NJ",,,0.0856,0.0284
34013980100,"Newark, NJ",,,0,0
42089300502,"East Stroudsburg, PA",,,0.1236,0.0505
34013021802,"West Caldwell, NJ",,,0,0.0145
42089301402,"East Stroudsburg, PA",,,0,0.1234
34027041704,"Parsippany, Parsippany-Troy Hills, NJ",,,0,0.0243
34039030701,"Elizabeth, NJ",,,0.2425,0.1403
34027040804,"Montville, NJ",,,0,0.0409
34013016300,"Upper Montclair, Montclair, NJ",,,0,0.009
34037373700,"Newton, NJ",,,0,0.0645
34003027000,"Ho-Ho-Kus, NJ",,,0,0.0142
34027044404,"White Meadow Lake, Rockaway, NJ",,,0,0.0369
34003032102,"Mahwah, NJ",,,0,0.0158
34027042900,"Madison, NJ",,,0,0.0041
34013019900,"Maplewood, NJ",,,0,0.0047
34027040200,"Pompton Plains, Pequannock Township, NJ",,,0,0.0177
34017013700,"East Newark, NJ",,,0.1417,0.0861
34031124602,"Clifton, NJ",,,0.1192,0.0336
34003044201,"Ramsey, NJ",,,0,0.0196
34013000500,"Upper Roseville, Newark, NJ",,,0.2458,0
34035052300,"Watchung, NJ",,,0,0
34027045402,"Landing, Roxbury Township, NJ",,,0.1002,0.0466
36085000300,"Richmond County, NY",,,#N/A,#N/A
34003017100,"Fair Lawn, NJ",,,0,0.0096
34003042302,"Paramus, NJ",,,0,0.0035
34027040101,"Lincoln Park, NJ",,,0,0.0416
34027046297,"Long Valley, Washington Township, NJ",,,0,0.0225
36085029102,"Richmond County, NY",,,#N/A,#N/A
34035052201,"Warren, NJ",,,0,0.017
34041031402,"Hackettstown, NJ",,,0,0.0528
34003026200,"Hillsdale, NJ",,,0.0768,0.0152
