tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
24510270803,"Loch Raven, Baltimore, MD",0.3746,0,0,0.1943
24005402503,"Randallstown, MD",0.3746,0,0,0.0899
24510270801,"Idlewood, Baltimore, MD",0.3698,#N/A,#N/A,0.078
24005402307,"Pikesville, MD",0.3694,0,0,0.0627
24005402304,"Gwynn Oak, Baltimore, MD",0.3655,0,0,0
24005401101,"Woodlawn, MD",0.3655,0.0879,0.3242,0.0645
24005451100,"Essex, MD",0.364,0,0,0.1123
24510270200,"Lauraville, Baltimore, MD",0.3635,0,0,0.161
24005452000,"Sparrows Point, MD",0.3631,0,0,0.1646
24510270902,"Perring Loch, Baltimore, MD",0.363,0,0,0
24005402602,"Randallstown, MD",0.362,0,0,0.1233
24005400702,"Baltimore, MD",0.361,0,0,0.1323
24005401507,"Windsor Mill, Baltimore, MD",0.3604,0.0314,0,0.1145
24005441102,"Rosedale, MD",0.3557,0,0,0.1535
24005402303,"Windsor Mill, Baltimore, MD",0.3552,0,0,0.2716
24510151100,"East Arlington, Baltimore, MD",0.3536,0,0,0
24510260800,"Baltimore Highlands, Baltimore, MD",0.3518,0,0,0.3358
24005401302,"Gwynn Oak, Baltimore, MD",0.3515,0,0,0.0122
24005402406,"Windsor Mill, Milford Mill, MD",0.3503,0,0,0.0606
24510270903,"Hillen, Baltimore, MD",0.3497,0,0,0
24005420401,"Dundalk, MD",0.3474,0,0,0.2363
24005440702,"Rosedale, MD",0.3473,0,0,0.1317
24510280102,"Gwynn Oak, Baltimore, MD",0.345,0,0,0
24005403402,"Pikesville, MD",0.3444,0,0,0.1096
24005401505,"Catonsville, MD",0.3422,0,0,0.1151
24005403202,"Gwynn Oak, Baltimore, MD",0.3378,0,0,0
24005400100,"Catonsville, MD",0.3376,0,0,0.0776
24510270302,"Waltherson, Baltimore, MD",0.3367,0,0,0.0975
24005452400,"Dundalk, MD",0.3357,0,0,0.2395
24005401301,"Woodlawn, MD",0.3318,0,0,0.1202
24510280302,"West Forest Park, Baltimore, MD",0.3307,0,0,0
24005402305,"Lochearn, Pikesville, MD",0.3297,0,0,0
24005440400,"Baltimore, MD",0.3272,0,0,0.1755
24005401506,"Windsor Mill, Baltimore, MD",0.3245,0,0,0.1641
24510271101,"Radnor - Winston, Baltimore, MD",0.3146,0,0,0.0046
24510280401,"Baltimore, MD",0.3139,0,0,0.0273
24005402306,"Windsor Mill, Baltimore, MD",0.3021,0,0,0
24005402405,"Gwynn Oak, Baltimore, MD",0.2987,0,0,0.108
24510270703,"North Harford Road, Baltimore, MD",0.2941,0,0,0.0433
24510130803,"Medfield, Baltimore, MD",0.2933,0,0,0.1246
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2907,0,0,0.099
24003751102,"Glen Burnie, MD",0.2902,0,0,0.1784
24005401200,"Woodlawn, MD",0.2874,0,0,0.0804
24005402302,"Windsor Mill, Milford Mill, MD",0.2817,0,0,0
24005400701,"Catonsville, MD",0.2797,0,0,0.1403
24005401102,"Gwynn Oak, Woodlawn, MD",0.2749,0,0,0
24005440900,"Rosedale, MD",0.2706,0,0,0.1048
24005403300,"Lochearn, Pikesville, MD",0.2683,0,0,0.0684
24510270301,"Lauraville, Baltimore, MD",0.2611,0,0,0.1046
24510130805,"Cold Springs, Baltimore, MD",0.2545,0,0,0
24510230100,"Baltimore, MD",0.2526,0,0,0.2356
24005403100,"Gwynn Oak, Pikesville, MD",0.2498,0,0,0.0298
24005402604,"Randallstown, MD",0.2455,#N/A,#N/A,0.0084
24005402403,"Gwynn Oak, Baltimore, MD",0.2422,0,0,0
24005403401,"Pikesville, MD",0.2405,#N/A,#N/A,0.0518
24005402506,"Randallstown, MD",0.2399,#N/A,#N/A,0.0804
24005400600,"Catonsville, MD",0.2367,0,0,0.0399
24005401000,"Catonsville, MD",0.2357,0,0,0.0353
24027602900,"Normandy, Ellicott City, MD",0.2248,0.0194,0,0.1049
24027601201,"Elkridge, MD",0.2171,0,0,0.091
24005403201,"Gwynn Oak, Lochearn, MD",0.2148,0,0,0.0197
24027601204,"Elkridge, MD",0.2137,0,0,0.1284
24005440300,"Nottingham, MD",0.2066,#N/A,#N/A,0.102
24510250103,"Violetville, Baltimore, MD",0.2054,0,0,0.1767
24003750804,"Glen Burnie, MD",0.2009,#N/A,#N/A,0.1139
24005491300,"Baltimore, MD",0.1997,#N/A,#N/A,0.0562
24027606706,"Kendall Ridge, Columbia, MD",0.1969,0.0246,0,0.0245
24027602600,"Ellicott City, MD",0.1969,0,0,0.06
24027606606,"Long Reach, Columbia, MD",0.1952,0.0318,0.1422,0.0666
24005403602,"Baltimore, MD",0.1889,#N/A,#N/A,0.0162
24510271200,"Homeland, Baltimore, MD",0.1733,0,0,0.0043
24027602302,"Columbia, MD",0.1338,0,0,0.0413
24027606607,"Long Reach, Columbia, MD",0.13,0.0084,0,0.0369
24005401504,"Catonsville, MD",0.1234,0.0624,0,0.0511
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.1218,0,0,0.0006
24027601108,"Ellicott City, MD",0.1088,0,0,0.0714
24027602800,"Ellicott City, MD",0.0976,0.1339,0,0.0529
24510271501,"Mount Washington, Baltimore, MD",0.0632,0,0,0.002
24027602100,"Ellicott City, MD",0.0469,0.0047,0,0.027
24005430600,"Relay, Halethorpe, MD",,0,0,0.0725
24510130806,"Woodberry, Baltimore, MD",,0,0,0.3051
24005492500,"Baltimore, MD",,0,0,0
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",,0,0,0.1871
24005451200,"Middle River, MD",,0,0,0.1606
24510120201,"Baltimore, MD",,0,0,0.1658
24005420302,"Dundalk, MD",,0,0,0.1632
24005450900,"Essex, MD",,0,0,0.1212
24005421200,"Dundalk, MD",,0,0,0.1444
24005420100,"Dundalk, MD",,0,0,0.2451
24510230200,"South Baltimore, Baltimore, MD",,0,0,0.2609
24005420800,"Dundalk, MD",,0,0,0.1772
24005421102,"Dundalk, MD",,0,0,0.11
24005420301,"Dundalk, MD",,0,0,0.2357
24005402202,"Baltimore County, MD",,0,0,0.0981
24510010300,"Canton, Baltimore, MD",,0,0,0.1696
24005440600,"Rosedale, MD",,0,0,0.0899
24005420701,"Dundalk, MD",,0,0,0.1908
24510240400,"Riverside Park, Baltimore, MD",,0,0,0.2293
24510260900,"Baltimore, MD",,0,0,0.1671
24510120202,"Baltimore, MD",,0,0,0
24005403500,"Pikesville, MD",,#N/A,#N/A,0.0076
24510020300,"Fells Point, Baltimore, MD",,0,0,0.1277
24005450100,"Rosedale, MD",,0,0,0.2054
24510250206,"Morrell Park, Baltimore, MD",,0,0,0.2263
24005420303,"Dundalk, MD",,0,0,0.1454
24005401503,"Catonsville, MD",,0,0,0.0729
24005440800,"Rosedale, MD",,0,0,0.1303
24003750202,"Brooklyn Park, MD",,0,0,0.2079
24027601103,"West Elkridge, Elkridge, MD",,0,0,0.0275
24003750102,"Baltimore, MD",,0,0,0.268
24510250600,"Brooklyn, Baltimore, MD",,0,0,0
24003750400,"Linthicum Heights, MD",,0,0,0.0888
24005451701,"Middle River, MD",,0,0,0.0849
24005452300,"Baltimore, MD",,0,0,0.1825
24005452500,"Dundalk, MD",,0,0,0.226
24510260501,"Joseph Lee, Baltimore, MD",,0,0,0.1548
24005440100,"Baltimore, MD",,#N/A,#N/A,0.0698
24510230300,"South Baltimore, Baltimore, MD",,0,0,0.3146
